rank,uid,username,type,accompany,medal_name,medal_level
1,650902976,星辰落缨,提督,33,供血包,34
2,11431363,天破空心,提督,28,供血包,32
3,5729200,畏光゛,舰长,1386,供血包,51
4,3493294526958393,萝宝宝の月月,舰长,909,供血包,46
5,11965818,膏青木马,舰长,789,供血包,43
6,34157994,爱学习的萌新白面包,舰长,945,供血包,39
7,367346953,洛天启I黑星,舰长,1428,供血包,39
8,519274401,CL_LuckyE,舰长,807,供血包,39
9,79963241,cube_miku,舰长,286,供血包,39
10,9189063,缺德金毛,舰长,97,供血包,38
11,677668473,萝哥の现亦,舰长,849,供血包,37
12,424384495,傲罗の假期,舰长,846,供血包,37
13,36132907,猫鳄霸,舰长,872,供血包,37
14,452182553,一条咸化鲨鱼,舰长,953,供血包,36
15,35505931,无是吾,舰长,1086,供血包,36
16,11933095,靑鋆子,舰长,759,供血包,36
17,60461156,-我-永远喜欢爱莉希雅,舰长,506,供血包,35
18,484156,欧卡尼亚,舰长,1403,供血包,35
19,437490940,养马糕手-,舰长,872,供血包,35
20,573508245,鸢桦aky,舰长,595,供血包,35
21,189598054,i珂i,舰长,901,供血包,35
22,509846987,枫浅沐熙,舰长,911,供血包,35
23,264489711,北极星夜,舰长,754,供血包,35
24,13313146,御坂スティーブ,舰长,533,供血包,34
25,32957306,monky_kon,舰长,339,供血包,34
26,1512279910,我是路痴qwq,舰长,30,供血包,33
27,123729248,天麟夜宇,舰长,491,供血包,33
28,106797737,yameito,舰长,1141,供血包,33
29,3546393505433751,爱情是糖捏,舰长,872,供血包,33
30,591355861,小小空洞骑士,舰长,828,供血包,32
31,4738109,绯樱_-,舰长,767,供血包,32
32,363297560,乙坂奈绪,舰长,547,供血包,32
33,30683849,风凌碧落,舰长,494,供血包,31
34,3546669796821037,何处梦清秋,舰长,585,供血包,31
35,137309469,小N我的超人,舰长,151,供血包,31
36,15201741,炼金师的炼习作,舰长,113,供血包,30
37,501191565,可甜可盐的白墨,舰长,216,供血包,30
38,2014470994,太阳将要毁伤-,舰长,74,供血包,30
39,1610659549,皮皮小八,舰长,66,供血包,30
40,528746345,k4ksaw,舰长,79,供血包,30
41,11398089,一里Bocchi酱,舰长,217,供血包,30
42,494671967,故寓诸无竟,舰长,136,供血包,29
43,52686530,奶茶配动漫,舰长,100,供血包,29
44,1789334557,浅川舍人,舰长,101,供血包,29
45,277780459,星兰影,舰长,232,供血包,29
46,1326809254,序三数秋,舰长,269,供血包,29
47,33380498,SAT竹唤夏,舰长,110,供血包,29
48,3461576619199229,绪山洛,舰长,58,供血包,29
49,3546678636317194,今日精神状态良好I,舰长,40,供血包,28
50,307465570,z花与时光同眠,舰长,67,供血包,28
51,475023191,懒_癌_晚_期,舰长,100,供血包,28
52,173903164,玄米抹茶-,舰长,97,供血包,28
53,347897700,水晶冥,舰长,37,供血包,28
54,1440752106,春风共作狮子鸣-,舰长,100,供血包,27
55,3546980712188599,太阳又坠机了,舰长,36,供血包,27
56,3546645459372400,money_for,舰长,100,供血包,27
57,3706948945971456,白梓琳白梓琳,舰长,10,供血包,27
58,3546827271965048,凡宫_,舰长,114,供血包,26
59,194161746,苍小郁TT,舰长,32,供血包,26
60,9174916,慈悲的牛哇灬皮卡丘,舰长,3,供血包,26
61,352634648,登deng等瞪,舰长,11,供血包,25
62,33056284,枯红山海棠,舰长,3,供血包,25
63,1562917248,小范悠悠然,舰长,24,供血包,25
64,669204946,墨水味橙汁,舰长,9,供血包,25
65,24750446,眠眠子不困,舰长,25,供血包,25
66,3546958373325545,小小安鬼,舰长,6,供血包,24
67,2104665450,瓦尔让,舰长,20,供血包,24
68,3461582558333746,忘年忽念,舰长,30,供血包,24
69,278520474,凌沫雨幻,舰长,7,供血包,24
70,131738598,松鼠不吃海鲜,舰长,10,供血包,24
71,3546905806113468,求求别橹了,舰长,29,供血包,24
72,30780220,幻想CY,舰长,28,供血包,22
73,360716378,大米Miga,舰长,29,供血包,22
74,47605403,飛颺-,舰长,22,供血包,22
75,3546617447712796,很好吃的薯薯,舰长,24,供血包,22
76,630176165,莫与非离,舰长,24,供血包,22
77,1565915115,该用户已猪销,舰长,24,供血包,22
78,1872806,黑莓粉Az,舰长,27,供血包,22
79,314730208,千鵲1,舰长,30,供血包,21
80,274411504,许先生演绎者喜羊羊,舰长,31,供血包,21
81,3537119995759211,落缨5号,舰长,30,供血包,21
